str_no_string|AUCUNE CHAÎNE !
str_npc15_backstory_a|Je suis Varvara de Novgorod. J'ai vécu là-bas jusqu'à la mort de mon mari.
str_npc16_backstory_a|Offensé ? Moi ? Croyez-moi, ceux qui m'offensent ne font pas long feu.
str_npc1_backstory_b|Vous auriez plus vite fait de compter toutes les feuilles de la forêt que les ennemis que j'ai occis. Si mes cheveux étaient aussi nombreux qu'eux, les barbiers feraient fortune en les coupant ! Que j'aille en enfer si je mens...
str_npc2_backstory_b|Le roi de Hongrie est l'ennemi mortel des Valaques, il fait courir d'affreuses rumeurs sur mes ancêtres, prétendant qu'ils étaient assoiffés de sang ! Ces légendes sont devenues la tragédie de notre famille. Les descendants de Dracula ont quitté la Transylvanie, j'ai grandi à Kamenets, près de la frontière. Cela fait quelque temps maintenant que j'erre. Ce n'est pas la vie que j'aurais souhaitée.
str_npc3_backstory_b|Je suis le prêtre Spasokukotsky. L'évêque de Riga m'avait confié la paroisse d'un petit village, mais dans la semaine qui a suivi, il a envoyé son sacristain ici pour voir si j'accomplissais bien mes devoirs. Après la messe du dimanche, cet importun est venu dans mon humble loge. Tout d'abord, il s'est enquis de la raison pour laquelle une de mes ouailles était dans mon lit, puis il a eu l'effronterie de me sermonner. Il m'a expliqué qu'il ne fallait pas faire tournoyer l'encensoir au-dessus de sa tête pendant son sermon. Pour ma part, j'ai plutôt bien enduré sa condescendance. Il a déclaré que les prières devaient se terminer par le mot "Amen", et non celui que j'avais utilisé, mais j'ai gardé le silence. La paroisse aimait ma façon de faire, vous comprenez ! Mais ensuite, il s'est mis à assurer qu'il avait vu quelqu'un vendre sur le marché de Riga des biens provenant de mon église. N'y tenant plus, je l'ai frappé avec un bâton si fort qu'il a failli y laisser la vie.
str_npc4_backstory_b|Durant la bataille de Berestechek, lorsque les Polonais et les Criméens ont anéanti les forces de Khmelnytsky, j'ai été capturé par les Tartares. Ils m'ont emmené à Caffa et m'ont proposé d'entrer aux services du sultan turc comme mercenaire. Mais j'ai préféré assassiner les gardes et m'enfuir.
str_npc5_backstory_b|J'ai servi dans le régiment de mousquetaires du général Lennart Torstenson, le meilleur commandant de toute la Suède. J'ai pris part à la bataille de Jankau, où nous avons écrasé l'élite des soldats allemands ! Ah, c'était le bon temps !
str_npc6_backstory_b|Mon service s'est bien passé... tout du moins, il se serait bien passé s'il n'y avait pas eu cet agent des services secrets. Cet homme efflanqué qui louchait s'était amouraché de ma femme. Cet être misérable savait que ma femme m'était fidèle, il a donc conçu un plan affligeant en faisant appel aux pouvoirs que sa position lui conférait. Il a raconté au garde-chasse en chef que je m'étais vanté d'avoir vu dans les bois un cheval fabuleux avec une corne sur la tête. Comme notre sire apprécie beaucoup les animaux rares, je me suis vu confier la tâche de capturer cette créature... faute de quoi on me jetterait au cachot pour ma vantardise.
str_npc7_backstory_b|Je m'appelle Yelisey. Je suis le quatrième fils du noble ryazan Skiba. Depuis ma naissance, mon père m'a préparé à mon devoir de guerrier. J'ai appris à monter à cheval, à tirer avec des pistolets et à me servir d'une épée.
str_npc8_backstory_b|Je suis Bakhyt. Durant quinze années, j'ai été l'assistant du bourreau du khan à Bakhchisaraï. Il y avait beaucoup de travail, mais ça ne me dérangeait pas... Enfin, jusqu'à ce que le nouveau khan nomme un nouveau vizir...
str_npc9_backstory_b|Mon ancêtre a reçu son titre du Grand Prince Algirdas à la fin du XIVe siècle. Pour sa valeur au combat, on lui a octroyé de vastes terres près du bourg de Bryansk. Depuis ce jour, tous les fils aînés de ma famille portent son nom. Notre maison a servi le Grand Duché de Lituanie loyalement durant trois siècles, alors que nos frontières étaient un sujet de discorde entre la Lituanie et Moscou. Notre propriété s'est peu à peu détériorée, mais nous en étions toujours les maîtres. Cependant, le tsar de Moscou l'a récemment donnée à l'un de ses nobles.
str_npc10_backstory_b|Je suis venu ici suite à l'invitation du prince Radziwill. J'ai d'abord servi dans le régiment de ses gardes du corps, puis dans l'infanterie. Nous nous sommes distingués sur le champ de bataille. Le prince a même songé à me confier le commandement d'un régiment...
str_npc11_backstory_b|Je suis le seigneur de la horde Nogaï, le Mirza Nogaï. Le sang du grand Gengis Khan coule dans mes veines et mes ancêtres étaient proches des tsars de Moscou. Vous ne pouvez imaginer comme il m'est atroce de voir ce Giray de basse lignée gouverner le Khanat de Crimée ! J'ai même dû payer un tribut ! Quelle insulte !
str_npc12_backstory_b|Le Français était très bavard. Pendant que je le soignais, il m'a raconté des histoires époustouflantes ! Il m'a parlé de cerisiers sous Pereyaslav qui ne pousseraient pas plus haut que la taille et de langoustes dans les rivières ukrainiennes aussi grosses que des chats ! D'après lui, les enfants tartares naissent aveugles, comme les chiots, et n'ouvrent les yeux qu'à partir de la deuxième semaine... Il a également dit que les Cosaques du Sich traitaient la fièvre avec de la vodka mélangée à de la poudre à canon... 
str_npc13_backstory_b|Je peux confectionner des philtres d'amour, voir l'avenir et utiliser la sorcellerie pour apporter de la chance au cœur de la bataille. Je suis également douée pour la divination et la guérison des chevaux.
str_npc14_backstory_b|Je m'appelle Ingri et je viens de Reval. S'il vous faut des provisions à des prix intéressants ou si vous souhaitez vendre votre marchandise trois fois sa valeur, adressez-vous à moi ! Je fournissais en nourriture et en vin le régiment de la cour de Charles Gustave en personne. Tout le monde était très satisfait... sauf mes concurrents, bien sûr ! Alors, un jour, ces chiens galeux ont échangé un de mes barils de bière et ont servi à mes clients de la pisse de cheval... le jour de l'anniversaire du roi, par-dessus le marché ! Je n'ai pas eu de chance, pourrait-on dire. À présent, je n'ai ni licence ni économies. Je suis libre comme l'air, que cela me plaise ou non.
str_npc15_backstory_b|Après s'être découvert une passion pour l'hydromel, mon défunt mari a commencé à me battre. Il rentrait souvent ivre mort et saisissait immédiatement sa ceinture... Eh bien, un jour, j'ai décidé de ne plus endurer cela. Lorsqu'il est arrivé, j'étais en train de pétrir la pâte avec mes mains fatiguées... Alors, je lui ai flanqué un grand coup sur la tête avec mon rouleau à pâtisserie. Je lui ai brisé le crâne.
str_npc16_backstory_b|Je suis né à Caffa. Lorsque j'ai eu quatorze ans, on est venu me chercher chez mes parents pour m'emmener à Istanbul où j'ai suivi un entraînement de garde. À dix-huit ans, je suis devenu le garde du corps de l'épouse adorée du sultan. Mais mon hanum a dû offenser d'une manière ou d'une autre mon maître. Les eunuques ont étranglé la femme. Après cela, on m'a reconduit à Caffa, mais pas chez moi... au marché des esclaves, où l'on m'a vendu.
str_npc1_backstory_c|Je vois que vous vous préparez à partir en guerre. Si vous m'invitiez à vous rejoindre, il faudrait que mes jambes aient pris racine pour que je ne vous suive pas, et quand bien même, je les arracherais du sol. J'ai un appétit insatiable pour la viande suédoise ! Quelles vermines ! Leurs chausses doivent être de vrais nids à puces, cela les empêche de rester en place, comme ils le devraient. Et maintenant, ils viennent grouiller sur les terres étrangères, là où ils n'ont rien à faire...
str_npc2_backstory_c|Il y a de ça plusieurs années, l'armée de Khmelnytsky a assiégé Kamenets. Rapidement, la peste a frappé le camp cosaque et ils se sont retirés. Mais cette même épidémie terrible a pris la vie de nombreux habitants, dont mes parents. Je me suis porté volontaire pour devenir le capitaine de la garde du bourg. Je ne pouvais me rendre sur leurs tombes avant le coucher du soleil, tellement j'avais à faire. Le gardien du cimetière en a parlé dans une taverne et a inventé quelque histoire de profanation de tombes. Les marchands, l'esprit enflammé par la guerre et la peste, m'ont accusé de péché mortel et ont juré ma perte. Tout ce que j'ai pu emporter avant de fuir la ville, ce sont mon épée et un traité sur l'art de la guerre.
str_npc3_backstory_c|En apprenant cela, l'évêque a envoyé une bande de mercenaires s'occuper de moi. Ne souhaitant pas particulièrement les attendre, j'ai rassemblé mes affaires et me suis enfui dans les bois. J'ai ensuite appris que l'évêque m'avait fait défroquer et excommunier.
str_npc4_backstory_c|Mais en rentrant chez moi, j'ai vu que tout avait changé au Sich.
str_npc5_backstory_c|Notre régiment était en permission dans un bourg prospère de la Grande Pologne. Nous, soldats de Sa Majesté le roi Charles, avions décidé de nous détendre un peu. On a raconté que j'ai vendu ma hallebarde à un négociant. Balivernes ! En tout cas, je ne m'en souviens pas... Au matin, le commandant du régiment en a eu vent et a rompu mon brevet de soldat. Mais je n'ai pas abandonné l'espoir de m'engager de nouveau. J'ai déjà préparé une pétition que je remettrai personnellement au roi Charles. Malheureusement, les quartiers de notre auguste monarque se déplacent avec l'armée et j'aurai bientôt dépensé toutes mes économies à essayer de les suivre.
str_npc6_backstory_c|Je ne pouvais rien y faire. J'étais destiné à finir en prison, tandis que ma femme irait droit dans le lit de cet homme. Alors, j'ai pris la hache d'armes de mon grand-père, je me suis rendu chez ce fourbe et je l'ai abattu comme un cochon. Puis, j'ai envoyé en secret ma femme, Nastasia, à Astrakhan chez des parents éloignés.
str_npc7_backstory_c|Mais je ne me considère pas comme quelqu'un de malchanceux, en tout cas pas plus que toute autre femme vivant dans ce trou... Cet amas de bouse qui trône au milieu du reste, peuplé de primates et de chacals.
str_npc8_backstory_c|L'ancien vizir a été destitué. J'ai pleuré en serrant le fil de soie autour de son coup. Le nouveau vizir était aussi avare qu'un négociant d'Istanbul ! Il a décidé que le bourreau n'avait pas besoin d'un assistant, alors on m'a renvoyé du palais le jour même. Désormais, je gagne ma croûte comme je peux. J'assiste le boucher sur l'étalage du marché, je découpe les carcasses à l'abattoir. J'ai même accepté de saigner un cochon dans une ferme cosaque pour dix thalers ! Créature de Sheitan, damnée par Allah !
str_npc9_backstory_c|Tout ce qui me reste, c'est l'épée de mon grand-père et mon honneur de chevalier.
str_npc10_backstory_c|Comme disent les Français : "cherchez la femme". J'ai rencontré une belle pani de Kiev par ici. J'ai alors immédiatement quitté le service et loué une propriété où nous avons coulé des jours heureux. Trois mois ont rapidement passé. Mais lorsque mes économies se sont épuisées, le maître de la propriété m'a mis à la porte. Et la pani est vite partie avec un marchand de fourrure qui passait par là.
str_npc11_backstory_c|Je ne supportais plus cette humiliation, alors j'ai mis les percepteurs du khan dehors. Deux semaines plus tard, un groupe armé est arrivé sur nos steppes, le long du Dniepr, près de Perekop. Je n'ai eu d'autre choix que de fuir.
str_npc12_backstory_c|Le jour suivant, on a fait appel à moi pour soigner un colonel cosaque malade à Kurenevka et je lui ai donné ce traitement. Le pauvre homme a avalé la mixture et s'est mis à hurler comme un fou. Cela a duré toute la journée, il est mort dans la soirée. Le nitrate de la poudre lui avait brûlé les intestins.^Les gens de Kurenevka en ont eu vent et ils ont envoyé tout un régiment à mes trousses, menaçant de faire un tambour avec ma peau.
str_npc13_backstory_c|Pour ma part, je viens de Poltava. J'aurais pu avoir une vie tranquille s'il n'y avait pas eu cette peste bovine l'automne dernier. Le prêtre local avait une dent contre moi, car il pensait que je lui volais ses paroissiens, ou quelque autre sornette. Il m'a alors accusée de sorcellerie et a prétendu que c'était moi qui avais tué le bétail. La nuit tombée, ils ont brûlé ma maison. Heureusement, une bonne âme m'avait prévenue et j'ai pu m'enfuir à temps.
str_npc14_backstory_c|Je cherche à présent un commandant qui pourrait m'apprécier à ma vraie valeur.
str_npc15_backstory_c|Oh, quelle pagaille ça a été ensuite ! Les gardes sont venus et ont voulu m'emmener devant le juge. J'étais folle de rage. J'ai attrapé la hache à long manche d'un des gardes et je les ai poussés dans la rivière Volkhov. Puis, je suis allée me cacher chez ma sœur... Elle habitait ici, mais elle a quitté ce monde il y a une semaine.
str_npc16_backstory_c|Mais ils avaient oublié à qui ils avaient affaire. La deuxième nuit, j'ai assassiné tous les gardes avant de disparaître dans la nuit.
str_npc1_backstory_later|Même si je n'ai plus vingt ans, je suis encore plein de vigueur. Vous devez me prendre avec vous, je vous l'assure !
str_npc2_backstory_later|Je suis un noble avec une grande expérience de la guerre, mais dans mon infortune, j'ai dû faire plusieurs travaux différents : garde pour des marchands, guetteur de nuit dans la maison d'un noble... J'ai même gagné ma pitance en jouant aux cartes. Mais peut-être auriez-vous besoin d'un compagnon vous-même ?
str_npc3_backstory_later|Je me demande à présent ce que me réserve la vie...
str_npc4_backstory_later|À présent, je cherche quelques hommes courageux pour donner une bonne leçon aux Polonais...
str_npc5_backstory_later|N'auriez-vous pas besoin d'un mercenaire aguerri dans votre groupe ?
str_npc6_backstory_later|À présent, je cherche des compagnons de route.
